what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1377516567397
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1377516567397
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1377516567413
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1377516567428
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1377516567428
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1377516567428
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1377516567444
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1377516567460
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1377516567491
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1377516567491
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1377516567491
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1377516567491
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1377516567507
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1377516567507
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1377516567522
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1377516567522
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1377516567522
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1377516567569
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1377516567647
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1377516567725
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1377516567725
os,sysinfo,,,"win32",1377516567835
arch,sysinfo,,,"x86",1377516567835
ws,sysinfo,,,"win32",1377516567835
locale,sysinfo,,,"de_DE",1377516567835
processors,sysinfo,,,"2",1377516567835
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1377516567835
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1377516567835
java.specification.name,sysinfo,,,"Java Platform API Specification",1377516567835
java.specification.vendor,sysinfo,,,"Oracle Corporation",1377516567835
java.specification.version,sysinfo,,,"1.7",1377516567835
java.vendor,sysinfo,,,"Oracle Corporation",1377516567835
